,Target_test,Prediction_Tree,Prediction_Tree2,Prediction_Logreg,Prediction_Logreg2
0,0,0,0.0,0,0.014448777222963938
1,0,0,0.0,0,0.049881815875049085
2,1,1,1.0,0,0.18380338324734402
3,1,1,1.0,1,0.7120795280085123
4,0,0,0.0,0,0.03920246678038543
5,0,0,0.0,0,0.048125669689759454
6,1,1,1.0,0,0.1427934336425148
7,0,0,0.0,0,0.013264604863952777
8,0,1,1.0,1,0.5310857687212349
9,0,0,0.0,0,0.056918387121588414
10,0,0,0.0,0,0.31635461253176045
11,0,0,0.0,0,0.09948054678719213
12,1,1,1.0,1,0.872030479355894
13,0,0,0.0,0,0.28658460430544014
14,0,0,0.0,0,0.009807209937561
15,0,1,1.0,0,0.1041466998848842
16,1,0,0.0,1,0.6119196283907311
17,0,0,0.0,0,0.1454017115942066
18,0,0,0.0,0,0.04165893769836219
19,0,0,0.0,0,0.052883358072057546
20,0,0,0.0,0,0.019782362762868065
21,0,0,0.0,0,0.022578177679736626
22,0,0,0.0,0,0.49203373082767465
23,0,0,0.0,0,0.10850742246619131
24,0,0,0.0,0,0.03842798281702001
25,0,0,0.0,0,0.05540657820051272
26,0,0,0.0,0,0.08010607436969289
27,0,0,0.0,0,0.13123783450659549
28,0,0,0.0,0,0.0166051227966759
29,0,0,0.0,0,0.01630018798835789
30,0,0,0.0,0,0.023138269410683015
31,0,1,1.0,0,0.09026888011660772
32,0,0,0.0,0,0.017443873558564343
33,0,0,0.0,0,0.03548644081485047
34,0,0,0.0,0,0.020872335340713873
35,0,0,0.0,0,0.05389827561446747
36,0,0,0.0,0,0.009997188465637376
37,0,0,0.0,0,0.014679303987109345
38,1,0,0.0,0,0.1585656117424934
39,1,0,0.0,0,0.27714555409224634
40,0,0,0.0,0,0.42881576432744106
41,1,1,1.0,1,0.6008267055808039
42,0,0,0.0,0,0.01952080326220546
43,0,0,0.0,0,0.015028868470661018
44,0,0,0.0,0,0.01723964849834988
45,0,0,0.0,0,0.4124352490924903
46,0,0,0.0,0,0.012161695875119276
47,1,1,1.0,0,0.3946687515801015
48,0,0,0.0,0,0.05570895935102775
49,0,0,0.0,0,0.010600765859306012
50,0,0,0.0,0,0.02511640698097303
51,0,1,1.0,0,0.09129043507252975
52,1,0,0.0,0,0.43475999182003444
53,0,0,0.0,0,0.0557932024763928
54,0,0,0.0,0,0.07273706089970065
55,0,0,0.0,0,0.04947227904708675
56,0,0,0.0,0,0.05908813121107358
57,0,1,1.0,1,0.6170477416967834
58,0,0,0.0,0,0.4737029720987079
59,0,0,0.0,0,0.024049846864421593
60,0,0,0.0,0,0.020442535598680076
61,0,0,0.0,0,0.02893388202618217
62,0,0,0.0,0,0.018787805694156806
63,0,0,0.0,0,0.05186519426831308
64,1,0,0.0,1,0.6019498082979935
65,1,0,0.0,1,0.7182574597015989
66,0,0,0.0,0,0.025172696256940963
67,0,0,0.0,0,0.04265721687594559
68,0,0,0.0,0,0.020451725028208738
69,0,0,0.0,0,0.041635763685697984
70,0,0,0.0,0,0.01109064601605088
71,1,0,0.0,1,0.6436775961521604
72,0,0,0.0,0,0.051397974870704674
73,0,0,0.0,0,0.010702552728601761
74,0,0,0.0,0,0.05834874833926859
75,0,0,0.0,0,0.09275023329167781
76,0,1,1.0,1,0.6387645869770636
77,0,0,0.0,0,0.03611014993221736
78,0,0,0.0,0,0.017675085827822165
79,0,0,0.0,0,0.00867733741759014
80,0,0,0.0,0,0.011974793453102657
81,1,0,0.0,1,0.5486777463715102
82,0,0,0.0,0,0.11011355950381511
83,0,0,0.0,0,0.017618251042625595
84,0,1,1.0,1,0.698554277443301
85,0,0,0.0,0,0.012883342914700788
86,0,0,0.0,0,0.03802222599619456
87,0,0,0.0,0,0.02348166967533475
88,0,0,0.0,0,0.028490313000736078
89,0,0,0.0,0,0.049708282423587956
90,0,0,0.0,0,0.12426525117776335
91,1,1,1.0,0,0.08094543776365858
92,0,0,0.0,0,0.0705815434378492
93,0,0,0.0,0,0.01107660869919647
94,0,0,0.0,0,0.051289764864292646
95,0,0,0.0,0,0.011158923199689965
96,0,0,0.0,0,0.03125695838241331
97,0,0,0.0,0,0.028091956467159458
98,0,0,0.0,0,0.08761077939823628
99,0,0,0.0,0,0.00823364292897502
100,0,0,0.0,0,0.017631828132772635
101,1,1,1.0,0,0.49717772427052837
102,0,0,0.0,0,0.052078153223716936
103,0,0,0.0,0,0.017586891815907953
104,0,0,0.0,0,0.044910777273998725
105,0,0,0.0,0,0.011359763589207891
106,0,1,1.0,0,0.1151643610455494
107,0,0,0.0,0,0.018452274734281713
108,0,0,0.0,0,0.03284757020342238
109,0,1,1.0,1,0.9111671604102834
110,0,0,0.0,0,0.2011023643110391
111,0,0,0.0,0,0.16377177786396077
112,0,0,0.0,0,0.01927534445190441
113,0,0,0.0,0,0.052959083688283774
114,1,1,1.0,0,0.41099452600589353
115,0,0,0.0,0,0.012999679147501372
116,0,0,0.0,0,0.12024058299055451
117,0,0,0.0,0,0.022055462148505754
118,0,0,0.0,0,0.019879701721495995
119,1,0,0.0,0,0.4557799516259428
120,0,0,0.0,0,0.4967946530572758
121,0,0,0.0,0,0.01686438443672199
122,0,0,0.0,0,0.03783127308247669
123,0,0,0.0,0,0.02778724419759886
124,0,0,0.0,0,0.024695828994359313
125,0,0,0.0,0,0.051148057833617325
126,0,0,0.0,0,0.03565837796679327
127,0,0,0.0,0,0.014687606220597968
128,0,0,0.0,0,0.008848529907937082
129,0,0,0.0,0,0.013059581152304472
130,0,1,1.0,1,0.6331558043213421
131,1,0,0.0,0,0.10650270917792078
132,0,0,0.0,0,0.010206404283397169
133,0,0,0.0,0,0.1310168195007422
134,0,0,0.0,0,0.02556333952393853
135,0,0,0.0,0,0.009605590797937045
136,0,0,0.0,0,0.12334834988159128
137,0,0,0.0,0,0.05665487633077043
138,0,0,0.0,0,0.07681111622094419
139,0,0,0.0,0,0.015417308654607447
140,0,0,0.0,0,0.014782030250668576
141,0,0,0.0,0,0.008616878938099072
142,0,0,0.0,0,0.029177781734831387
143,0,0,0.0,0,0.014036713071572199
144,0,0,0.0,0,0.05449735429178753
145,0,0,0.0,0,0.04524833943356128
146,0,0,0.0,0,0.19297478745080313
147,0,0,0.0,0,0.01473689399443065
148,0,0,0.0,0,0.07556582741157264
149,0,0,0.0,0,0.010707744538027508
150,0,1,1.0,1,0.5315318346383694
151,1,0,0.0,0,0.12638060306344506
152,1,1,1.0,0,0.16848852037792947
153,0,0,0.0,0,0.012022217809190073
154,0,0,0.0,0,0.06976340816617868
155,1,0,0.0,1,0.945646635249281
156,0,0,0.0,0,0.009140464305552735
157,1,1,1.0,1,0.8715089808916788
158,0,0,0.0,0,0.014839342792043134
159,0,0,0.0,0,0.014293173190790131
160,0,0,0.0,0,0.010162417036127004
161,0,0,0.0,0,0.05019010515889974
162,0,0,0.0,0,0.009396019960293397
163,0,0,0.0,0,0.03415554219047773
164,0,0,0.0,0,0.01801049321908226
165,0,0,0.0,0,0.026990106614561606
166,0,0,0.0,0,0.0238084275728644
167,0,0,0.0,0,0.04963805564289509
168,1,0,0.0,0,0.44003005975803566
169,0,0,0.0,0,0.01284718684371899
170,0,0,0.0,0,0.09441116007346406
171,1,0,0.0,0,0.07968525885564469
172,0,0,0.0,0,0.009558007794611682
173,1,1,1.0,1,0.7345834307522447
174,0,0,0.0,0,0.0231552004247473
175,0,0,0.0,0,0.07433532943187686
176,0,0,0.0,0,0.05681290451113099
177,0,0,0.0,0,0.025229206293321583
178,0,0,0.0,0,0.02131016570330797
179,0,0,0.0,0,0.05874826175905123
180,0,0,0.0,0,0.049740173215295246
181,0,0,0.0,0,0.008457444112655371
182,0,0,0.0,0,0.03803964257226703
183,0,0,0.0,0,0.025667605003607485
184,0,0,0.0,0,0.010776784128611518
185,1,0,0.0,1,0.8713705866785945
186,0,0,0.0,0,0.019664067937480267
187,0,0,0.0,0,0.015795219580274553
188,0,0,0.0,0,0.14623227138259587
189,0,0,0.0,0,0.18961330810026636
190,0,0,0.0,0,0.03665524730517117
191,0,0,0.0,0,0.06861882989745291
192,0,0,0.0,0,0.055025391511785524
193,0,0,0.0,0,0.024778429484356098
194,0,1,1.0,0,0.16460571293296783
195,0,0,0.0,0,0.015741522726447778
196,0,0,0.0,0,0.027749329976313377
197,0,0,0.0,0,0.012023858147800763
198,0,0,0.0,0,0.010444159838953216
199,1,1,1.0,1,0.5222734705956515
200,0,0,0.0,0,0.10964918862355333
