Modell;Hersteller;Jahr;Leistung_PS;Drehmoment_Nm;Hubraum_cm3;Zylinder;Höchstgeschwindigkeit_kmh;Leergewicht_kg;Preis_euro;BeschleunigungViertelmeile_sek
AMG GT Black Series;Mercedes;2020;730;800;3982;8;325;1626;342780;10,71
Focus ST;Ford;2020;280;420;2261;4;250;1455;37432;14,05
Golf GTI;Volkswagen;2020;245;370;1984;4;250;1408;38144;14,6
i30 N;Hyundai;2020;275;378;1998;4;250;1478;35676;14,38
Panamera Turbo S;Porsche;2020;630;820;3996;8;310;2140;185982;11
M8 Competition Gran Coupe;BMW;2020;625;750;4395;8;305;1930;178728;10,7
M440i xDrive;BMW;2020;374;500;2998;6;250;1800;70438;12,48
M2 Competition;BMW;2020;410;550;2979;6;280;1650;67406;12,41
Cayman GTS 4.0;Porsche;2020;400;430;3995;6;288;1450;96485;11,68
TT RS;Audi;2020;400;480;2480;5;280;1505;70039;11,99
Vantage;Aston Martin;2020;510;685;3982;8;314;1695;145726;12,15
DBS Superleggera;Aston Martin;2020;725;900;5204;12;340;1898;286100;11,81
AMG A 35;Mercedes;2020;306;400;1991;4;250;1620;51318;13,3
Civic Type R;Honda;2020;320;400;1996;4;270;1425;41575;14,02
S3 Sportback;Audi;2020;310;400;1984;4;250;1590;48798;13
F8 Tributo;Ferrari;2020;720;770;3902;8;340;1498;266265;10,49
F-Type;Jaguar;2020;450;580;5000;8;285;1800;90912;12,69
718 Cayman GT4;Porsche;2020;420;420;3995;6;304;1443;111733;12,74
GT500;Shelby;2020;760;847;5163;8;290;1882;129900;11,8
Aventador SVJ;Lamborghini;2020;770;720;6498;12;350;1736;409546;10,66
Huracan Evo;Lamborghini;2020;640;600;5204;10;325;1637;214003;10,63
Golf VIII GTI;Volkswagen;2020;245;370;1984;4;250;1411;40067;14,22
GR Supra 3.0;Toyota;2020;340;500;2998;6;250;1508;61314;13,06
Challenger 392 R/T Scat Pack Widebody;Dodge;2020;492;644;6417;8;270;1937;61799;13,25
911 Carrera S;Porsche;2020;450;530;2981;6;308;1570;140121;11,5
718 Cayman S;Porsche;2020;350;420;2497;4;285;1425;76801;12,3
R8 V10 RWD;Audi;2020;540;540;5204;10;320;1634;142320;11,45
Corvette C8 Stingray;Chevrolet;2020;502;637;6162;8;299;1666;99000;11,57
A110;Alpine;2020;252;320;1798;4;250;1109;57048;13
GR Supra 2.0;Toyota;2020;258;400;1998;4;250;1472;52054;13,75
GT-R Nismo;Nissan;2020;600;652;3799;6;315;1753;204696;11,15
R8 V10 Performance;Audi;2020;620;580;5204;10;331;1633;210800;10,63
911 Turbo S;Porsche;2020;650;800;3745;6;330;1644;227750;10,41
M8 Competition;BMW;2020;625;750;4395;8;305;1879;176388;11,04
Giulia Quadrifoglio;Alfa Romeo;2020;510;600;2891;6;307;1720;97382;11,9
AMG C 63 S;Mercedes;2020;510;700;3952;8;290;1777;94233;12,2
330i;BMW;2020;258;400;1998;4;250;1602;57308;14,06
Giulia 2.0 Turbo 16V Q2;Alfa Romeo;2020;280;400;1995;4;240;1612;58048;13,83
